UniProtKB,SET1_DPY7.NES.GFP,SET2_DPY7.NES.GFP,SET3_DPY7.NES.GFP,SET1_DPY7.NLS.GFP,SET2_DPY7.NLS.GFP,SET3_DPY7.NLS.GFP,SET1_DPY7.NLS.NES,SET2_DPY7.NLS.NES,SET3_DPY7.NLS.NES,SET1_MYO2.NES.GFP,SET2_MYO2.NES.GFP,SET3_MYO2.NES.GFP,SET1_MYO2.NLS.GFP,SET2_MYO2.NLS.GFP,SET3_MYO2.NLS.GFP,SET1_MYO2.NLS.NES,SET2_MYO2.NLS.NES,SET3_MYO2.NLS.NES,SET1_MYO3.NES.GFP,SET2_MYO3.NES.GFP,SET3_MYO3.NES.GFP,SET1_MYO3.NLS.GFP,SET2_MYO3.NLS.GFP,SET3_MYO3.NLS.GFP,SET1_MYO3.NLS.NES,SET2_MYO3.NLS.NES,SET3_MYO3.NLS.NES,SET1_SPP5.NES.GFP,SET2_SPP5.NES.GFP,SET3_SPP5.NES.GFP,SET1_SPP5.NLS.GFP,SET2_SPP5.NLS.GFP,SET3_SPP5.NLS.GFP,SET1_SPP5.NLS.NES,SET2_SPP5.NLS.NES,SET3_SPP5.NLS.NES,Epidermis_cytoplasm,Epidermis_nucleus,Pharyngeal.muscle_cytoplasm,Pharyngeal.muscle_nucleus,Body.wall.muscle_cytoplasm,Body.wall.muscle_nucleus,Intestine_cytoplasm,Intestine_nucleus,Compartment.specific,Tissue.specific
Q20752,4.43488,2.69833,2.79708,0,0,0,-0.177830098,-0.31867215,-0.457575273,1.81896,0,0,0,0,0,-0.050240419,0,0,0,0.928385,0,0,0,0,-0.504423766,0.374574161,0,0.872379,3.76208,0,0,0,0,-0.059813837,0.34059489,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
Q17703,0,0,2.18492,0,0,0,0,0,0.103364727,0,0,0.919324,0,0,0,0,0,0.548881,0.982066,0,0,0,0,0,0.811487234,0,0,3.11094,3.27841,2.42151,0,0,0,0.120096163,-0.99743511,-0.504446549,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA
O16259,3.84638,4.14923,4.07758,0.604789,2.99496,2.26103,-0.545940098,-1.02704215,-0.894555273,1.87955,1.90144,1.8242,0,0.220191,0,-0.917370419,-0.85236005,-0.800277,1.93789,2.21173,1.31363,0,0,-0.142513,-0.481303766,-0.510838839,-0.454050867,4.38438,4.54183,3.37653,0.261757,0.203332,1.65028,-0.930263837,-0.52382511,-0.554866549,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA
G5EF60,5.50023,4.47849,3.85994,3.83837,2.19172,1.4083,-0.832820098,-0.67779215,-1.257365273,4.10121,3.23342,1.18634,0,0,0,-3.237920419,-0.13298405,-0.958757,2.75519,2.38457,0.797978,0,2.74532,0,0,0.677018161,-0.427590867,4.33521,4.1271,4.02554,3.28283,2.4266,1.76723,-0.462783837,-0.45023511,-1.143936549,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,NA
H2FLJ1,0,5.04886,4.6822,0,0,0,0,-0.21788215,-0.087965273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.728746,0.897691,0,0,0,0,1.35963989,0.467357451,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Epidermis specific
O02642,1.72696,3.53381,2.41622,1.70075,0,0.315272,1.148102902,0.41886685,0.482421727,0.695907,-0.900664,-3.33506,1.56911,-1.43312,0,1.302222581,0.51321695,0.49096,0.405146,2.2881,4.10557,0.875687,-0.531417,0,0.873053434,1.406260161,0,4.75018,2.21765,2.45889,0,-0.890393,2.83602,2.492725163,0.47219489,0.329203451,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA
Q19866,1.41696,0,2.21785,0,0,0.674378,1.942645902,0,0.417317727,0,0,0.357081,0,0,0,0,0,0.378678,0,0,0.27232,0,0,4.53486,0,0,1.009800133,4.64246,2.30454,1.52619,0,0,0.755714,1.610067163,7.14750489,1.180960551,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA
Q9XTQ8,3.46927,0,0,0,0,0,0.443289902,0,0,0,0,0,0,0,0,0,0,0.898537,0,0,0,0,0,0,0,0,0,3.13677,3.90351,3.30567,0,0,0,0.146986163,0.68677489,0.191564451,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA
O45189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88892,4.84277,0,0,3.1489,0,0.492488234,0.208455161,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,Body wall muscle specific
Q7JMB8,3.50292,3.31012,4.16492,0,1.57158,2.23285,-0.121160098,0.45164985,-1.198375273,1.27395,0.743334,1.78557,0,0,0,-0.065605419,0.08466795,-0.434167,3.83446,3.70682,3.17399,0,1.52853,0.431586,-1.743303766,-1.710478839,-1.882810867,4.6274,4.44773,3.90356,0,0,1.79356,-1.721423837,-0.69353511,-1.781476549,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Cytoplasm specific,NA
Q21166,3.2124,3.20814,3.08262,2.43972,3.38241,2.88356,0.150559902,0.42478685,0.265018727,0,1.89568,0.922725,0,0.964981,1.41146,0.428595581,0.51752795,0.288579,0.811697,1.40114,1.11709,0.834097,1.44745,0.56631,0.490004234,0.249648161,0.155269133,3.93097,4.22244,3.35221,2.37921,3.30076,2.01807,0.295616163,0.55526489,0.251338451,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,NA
G5EDR3,3.83322,3.44595,3.19762,0,3.56557,0,0.929024902,0.69715885,0.323648727,0.926255,1.7217,0,0,0,0,0.237139581,0.03212295,-0.413787,0,1.28042,0,0,0,0,0,0.725606161,0,4.14013,3.19548,2.94238,0,0,1.9982,0.959245163,0.61499489,0.487144451,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA
Q9XU75,0,0.363757,0,0,-0.308758,0,0,0.85335885,0,0.301426,-0.80542,-0.617416,0.842705,-1.00196,0,1.312122581,0.54153295,-1.053327,2.02483,-0.668053,0,0.686951,-0.585171,0.0419493,1.316705234,1.163645161,0,0,0.596554,0,0,-1.79517,0,0,0.74402489,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
Q95XU6,3.05613,0,0,3.26544,0,3.0727,1.920397902,0,2.152412727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62071,0,0,5.766219133,0,0,0,3.96311,0,3.40129,3.575456163,2.64036089,2.411013451,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Nucleus specific,NA
Q93759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55594495,0,2.84663,4.78861,1.7231,0,0,0,-0.604533766,-0.627338839,-0.321106867,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,Body wall muscle specific
G5EF87,2.46357,2.7447,2.28156,3.02207,1.81448,3.14976,1.692337202,0.78215385,1.951369727,0,0.670703,-0.131772,0,0,2.00162,0,0.35044195,0.998453,3.48671,1.3095,1.03741,1.92195,1.79787,2.92359,1.825374234,1.018074861,2.365489133,4.42007,2.94922,2.09292,3.52283,2.6471,2.94183,1.748171563,1.86413589,2.003422451,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Nucleus specific,NA
Q09646,2.75978,0,0,0,0,0,0.791810902,0,0,0,0,0.983725,0,0,0,0,0.41933195,-0.006542,4.70092,0,0,0,0,0,-0.800403766,0,0,2.41134,0,2.43114,1.49212,0,2.26393,0.689246163,0,0.741873451,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA
Q9BL39,0,0,0,0,0,2.60026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.115259133,0,0,0,5.54538,3.74222,3.6604,4.962296163,4.41446489,4.504063451,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Nucleus specific,NA
G5EF53,3.99081,0,2.38629,2.84532,3.41397,2.05766,1.724327802,0.93817385,1.290381127,1.68042,0,0.661175,1.32332,0,0.623536,1.106546581,-0.10602905,0.8423436,0,0,0,0.594134,1.37582,1.73986,0.847806734,0.743682161,1.748699133,3.77614,0,1.80235,0.683971,0,1.4844,1.743842863,10.43176489,1.112120661,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Nucleus specific,NA
Q9N4N4,3.37823,0,-2.11826,3.36212,-0.867049,-0.765866,1.694982602,3.02239785,1.269323827,0,0,0.410968,0,0,-0.0783087,0,0,0.390707,-0.656731,0,0.0178088,0,0,0.806742,0.459601234,0,1.103003133,0.820539,-0.669514,0,0,0,1.62655,1.788136263,1.65037889,1.487664451,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
Q17757,5.71058,0,2.61365,1.18787,0,0,-0.427860098,0,-0.856075273,1.78707,0,0.0974791,0,0,0,0.582996581,0,1.725343,0,0,0,0,0,-0.0434048,0,0,0,0.871842,0,1.66356,0,0,0,3.763316163,0,0.401341451,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
O44620,0,0,1.26228,0,2.949,0,0,0.07381785,-1.478975273,0,0,0,0,0,0,0,0,0,0,1.25976,0,0,0,0,0,-0.026781839,0,0,1.06521,0,0,0,0,0,-0.08091511,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
G5EFP4,1.20587,1.11193,1.20798,0.962688,1.17417,0.293671,1.504167902,1.69357885,1.077544727,0.21898,0.771854,-0.4742,-0.180443,0.452638,-0.0290826,0.490106581,0.55883895,1.195185,0.502176,0.578709,-0.424465,-0.0729602,0.496262,-0.791263,0.308141234,0.692055161,0.606428133,0.662064,1.14889,-0.647264,0.319169,0.959949,0,1.305503163,1.99772989,1.036057051,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
